Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: May 2024,Searches: Jun 2024,Searches: Jul 2024,Searches: Aug 2024,Searches: Sep 2024,Searches: Oct 2024,Searches: Nov 2024,Searches: Dec 2024,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025
vfx studio,CAD,1600.0,26%,50%,Low,5.0,1.91,5.59,,,,,,1300.0,1600.0,1600.0,1600.0,1600.0,1300.0,1600.0,1600.0,1900.0,1900.0,2400.0,2400.0
3d animation services,CAD,1000.0,23%,0%,Low,5.0,11.71,44.57,,,,,,720.0,1000.0,1000.0,1300.0,1300.0,390.0,590.0,880.0,1000.0,1300.0,1600.0,1600.0
video production company,CAD,8100.0,22%,174%,Low,7.0,5.34,21.51,,,,,,6600.0,5400.0,5400.0,5400.0,4400.0,5400.0,6600.0,5400.0,9900.0,12100.0,14800.0,14800.0
commercial video production,CAD,1300.0,-45%,60%,Low,3.0,5.47,28.7,,,,,,1000.0,1000.0,880.0,720.0,720.0,880.0,880.0,880.0,1600.0,2900.0,2400.0,1600.0
advertising video production,CAD,320.0,0%,136%,Low,3.0,5.59,52.36,,,,,,110.0,170.0,480.0,1600.0,110.0,90.0,390.0,260.0,210.0,260.0,320.0,260.0
social media video production,CAD,1000.0,23%,171%,Low,4.0,5.53,20.04,,,,,,720.0,590.0,1600.0,720.0,590.0,590.0,880.0,880.0,1000.0,1300.0,1900.0,1600.0
product video production,CAD,390.0,50%,85%,Low,4.0,12.2,44.72,,,,,,260.0,210.0,260.0,210.0,210.0,210.0,260.0,320.0,320.0,480.0,720.0,720.0
3d animation company,CAD,1600.0,0%,90%,Low,12.0,3.38,25.46,,,,,,1300.0,1000.0,1000.0,1000.0,1300.0,1300.0,1600.0,1600.0,2400.0,1900.0,2400.0,1900.0
animation services,CAD,880.0,-47%,39%,Low,12.0,5.58,30.69,,,,,,880.0,720.0,590.0,720.0,590.0,590.0,720.0,590.0,880.0,1900.0,1600.0,1000.0
video production,CAD,18100.0,0%,23%,Low,8.0,4.04,14.84,,,,,,18100.0,12100.0,14800.0,14800.0,12100.0,14800.0,14800.0,14800.0,22200.0,22200.0,27100.0,22200.0
explainer videos,CAD,1900.0,0%,46%,Low,29.0,8.59,38.95,,,,,,1600.0,1600.0,1600.0,1600.0,1600.0,2400.0,1600.0,1300.0,1900.0,1900.0,2400.0,1900.0
video brochures,CAD,1300.0,-19%,0%,High,100.0,8.6,27.95,,,,,,1300.0,1300.0,1300.0,1300.0,1300.0,1600.0,1300.0,1300.0,1600.0,1600.0,1600.0,1300.0
video production near me,CAD,6600.0,-18%,84%,Low,8.0,4.58,20.43,,,,,,4400.0,4400.0,4400.0,5400.0,8100.0,6600.0,6600.0,6600.0,8100.0,9900.0,12100.0,8100.0
explainer video company,CAD,880.0,30%,120%,Low,14.0,11.18,43.32,,,,,,880.0,1000.0,720.0,880.0,480.0,590.0,720.0,1000.0,1000.0,1000.0,1600.0,1300.0
