keyword,avg_monthly_searches,cpc_low,cpc_high,competition_score,competition_text,currency,cpc,search_intent
vfx studio,1600.0,1.91,5.59,5.0,Low,CAD,3.75,transactional
3d animation services,1000.0,11.71,44.57,5.0,Low,CAD,28.14,transactional
video production company,8100.0,5.34,21.51,7.0,Low,CAD,13.425,transactional
commercial video production,1300.0,5.47,28.7,3.0,Low,CAD,17.085,commercial
advertising video production,320.0,5.59,52.36,3.0,Low,CAD,28.975,commercial
social media video production,1000.0,5.53,20.04,4.0,Low,CAD,12.785,commercial
product video production,390.0,12.2,44.72,4.0,Low,CAD,28.46,commercial
3d animation company,1600.0,3.38,25.46,12.0,Low,CAD,14.42,transactional
animation services,880.0,5.58,30.69,12.0,Low,CAD,18.135,transactional
video production,18100.0,4.04,14.84,8.0,Low,CAD,9.44,commercial
explainer videos,1900.0,8.59,38.95,29.0,Low,CAD,23.770000000000003,informational
video brochures,1300.0,8.6,27.95,100.0,High,CAD,18.275,informational
video production near me,6600.0,4.58,20.43,8.0,Low,CAD,12.505,transactional
explainer video company,880.0,11.18,43.32,14.0,Low,CAD,27.25,transactional
corporate video production,2900.0,6.51,32.18,5.0,Low,CAD,19.345,commercial
video agency,1600.0,4.54,21.37,10.0,Low,CAD,12.955,transactional
video production companies near me,1900.0,4.86,21.62,20.0,Low,CAD,13.24,transactional
animated explainer videos,720.0,10.47,45.39,17.0,Low,CAD,27.93,informational
video editing company,1000.0,4.13,20.59,27.0,Low,CAD,12.36,transactional
product demo video,390.0,8.27,31.12,20.0,Low,CAD,19.695,informational
corporate video,2900.0,4.35,20.17,10.0,Low,CAD,12.260000000000002,informational
video editing agency,1000.0,3.29,13.59,8.0,Low,CAD,8.44,transactional
animated video production services,260.0,26.32,51.95,3.0,Low,CAD,39.135000000000005,transactional
product videography,1900.0,4.81,20.92,24.0,Low,CAD,12.865,informational
product video,1900.0,4.81,20.92,24.0,Low,CAD,12.865,informational
medical animation,880.0,4.28,20.96,21.0,Low,CAD,12.62,commercial
3d product animation,480.0,5.28,26.71,22.0,Low,CAD,15.995,commercial
production companies near me,3600.0,2.47,10.58,29.0,Low,CAD,6.525,transactional
video production services,8100.0,5.36,20.96,3.0,Low,CAD,13.16,transactional
product video maker,320.0,4.09,18.22,32.0,Low,CAD,11.155,informational
video animation services,880.0,11.38,48.31,5.0,Low,CAD,29.845,transactional
video marketing agency,1300.0,6.65,24.23,8.0,Low,CAD,15.44,transactional
explainer video agency,260.0,11.82,42.37,7.0,Low,CAD,27.095,transactional
demo video,720.0,7.34,27.57,23.0,Low,CAD,17.455,informational
explainer video services,590.0,10.77,41.18,6.0,Low,CAD,25.975,transactional
music video production,1300.0,2.23,7.09,12.0,Low,CAD,4.66,commercial
product explainer video,170.0,11.89,39.97,19.0,Low,CAD,25.93,informational
3d animation studios,1600.0,3.38,25.46,12.0,Low,CAD,14.42,transactional
animated video agency,320.0,12.45,46.69,6.0,Low,CAD,29.57,transactional
music video production near me,880.0,2.46,7.43,38.0,Medium,CAD,4.945,transactional
commercial production companies,720.0,5.4,24.26,23.0,Low,CAD,14.830000000000002,informational
video company,2900.0,4.99,25.88,10.0,Low,CAD,15.435,transactional
explainer video production,720.0,6.92,34.99,6.0,Low,CAD,20.955,informational
music videographer near me,480.0,2.03,6.6,43.0,Medium,CAD,4.315,transactional
media production company,880.0,3.07,12.07,7.0,Low,CAD,7.57,transactional
corporate videographer,2900.0,4.35,20.17,10.0,Low,CAD,12.260000000000002,informational
personalized videos,590.0,1.96,48.3,11.0,Low,CAD,25.13,informational
commercial videographer,1300.0,4.39,22.14,13.0,Low,CAD,13.265,informational
video production agency,1300.0,4.67,20.96,6.0,Low,CAD,12.815,transactional
video production house,260.0,6.51,31.78,6.0,Low,CAD,19.145,commercial
video animation company,320.0,12.45,47.46,10.0,Low,CAD,29.955,transactional
product animation,480.0,4.89,15.47,17.0,Low,CAD,10.18,commercial
video production studio,1300.0,4.36,17.75,7.0,Low,CAD,11.055,transactional
animated video production,1000.0,14.7,51.78,4.0,Low,CAD,33.24,commercial
creative video agency,590.0,3.76,23.76,5.0,Low,CAD,13.760000000000002,transactional
videography company,2900.0,4.99,25.88,10.0,Low,CAD,15.435,transactional
lemonlight media,140.0,13.98,13.98,11.0,Low,CAD,13.98,informational
animated explainer video company,720.0,16.28,53.38,5.0,Low,CAD,34.83,transactional
video production pricing sheet,170.0,2.66,8.3,14.0,Low,CAD,5.48,transactional
commercial video,1300.0,4.39,22.14,13.0,Low,CAD,13.265,informational
video animation services usa,50.0,11.74,31.14,17.0,Low,CAD,21.44,local_transactional
3d animation agency,170.0,4.89,40.11,4.0,Low,CAD,22.5,transactional
video content agency,320.0,6.75,21.13,7.0,Low,CAD,13.94,transactional
video ad agency,880.0,7.78,35.31,4.0,Low,CAD,21.545,transactional
explainer video production companies,140.0,16.99,41.93,3.0,Low,CAD,29.46,informational
video marketing companies,1300.0,8.92,45.31,3.0,Low,CAD,27.115,informational
video production services near me,6600.0,4.14,20.21,4.0,Low,CAD,12.175,transactional
music video production companies,390.0,2.07,5.17,21.0,Low,CAD,3.62,commercial
production agency,590.0,2.25,8.33,10.0,Low,CAD,5.29,transactional
2d animation studios,1000.0,2.94,15.39,10.0,Low,CAD,9.165,transactional
best company to transfer 8mm film to digital,90.0,2.46,9.14,99.0,High,CAD,5.800000000000001,transactional
3d animation video maker,140.0,1.61,4.79,51.0,Medium,CAD,3.2,commercial
video companies near me,720.0,5.65,28.7,13.0,Low,CAD,17.175,transactional
product videos for marketing,320.0,5.72,25.16,10.0,Low,CAD,15.44,informational
brand video,1600.0,3.94,20.07,12.0,Low,CAD,12.005,informational
medical animation companies,260.0,7.77,23.62,16.0,Low,CAD,15.695,commercial
video production website,590.0,2.73,11.59,7.0,Low,CAD,7.16,commercial
2d animation companies,1000.0,2.94,15.39,10.0,Low,CAD,9.165,commercial
videography agency,390.0,4.78,27.95,15.0,Low,CAD,16.365,transactional
video advertising agency,880.0,7.78,35.31,4.0,Low,CAD,21.545,transactional
video makers near me,140.0,3.72,13.01,43.0,Medium,CAD,8.365,transactional
video creation agency,110.0,18.88,72.92,3.0,Low,CAD,45.9,transactional
tv commercial production companies,1000.0,8.81,46.9,6.0,Low,CAD,27.855,informational
promotional videos for business,390.0,5.78,25.36,6.0,Low,CAD,15.57,informational
explainer video cost,480.0,6.93,28.96,5.0,Low,CAD,17.945,informational
media production companies near me,390.0,3.68,15.08,26.0,Low,CAD,9.38,transactional
video editing companies near me,260.0,2.95,24.43,25.0,Low,CAD,13.69,transactional
3d product animation video,90.0,3.45,7.97,10.0,Low,CAD,5.71,commercial
motion graphics animation,1000.0,3.11,12.95,13.0,Low,CAD,8.03,commercial
video production studios near me,590.0,2.5,14.29,22.0,Low,CAD,8.395,transactional
medical animation videos,210.0,4.19,18.17,12.0,Low,CAD,11.18,commercial
event videography pricing,260.0,1.75,6.32,18.0,Low,CAD,4.035,transactional
video making company,170.0,6.35,25.16,5.0,Low,CAD,15.755,transactional
local video production companies,590.0,4.53,17.33,10.0,Low,CAD,10.93,commercial
commercial video advertising,50.0,11.79,67.08,27.0,Low,CAD,39.435,informational
best video production companies,260.0,6.59,18.82,7.0,Low,CAD,12.705,commercial
videography services near me,1300.0,4.54,18.08,27.0,Low,CAD,11.31,transactional
youtube production agencies,10.0,,,0.0,Low,CAD,,informational
3d motion graphics,390.0,2.78,10.47,16.0,Low,CAD,6.625,commercial
animated explainer video agency,90.0,11.51,41.93,11.0,Low,CAD,26.72,transactional
animated corporate videos,480.0,10.17,36.0,6.0,Low,CAD,23.085,informational
social media production company,390.0,5.41,19.19,7.0,Low,CAD,12.3,transactional
3d medical animation,260.0,4.16,20.96,16.0,Low,CAD,12.56,commercial
video ad production,320.0,5.44,41.24,3.0,Low,CAD,23.34,informational
video production for small businesses,260.0,8.32,37.62,4.0,Low,CAD,22.97,commercial
brand video production,720.0,7.01,36.07,2.0,Low,CAD,21.54,commercial
video marketing company near me,140.0,9.88,44.04,7.0,Low,CAD,26.96,transactional
animation agencies,590.0,5.73,40.94,12.0,Low,CAD,23.335,commercial
